book_id,para_id,pali_paragraph,translation_paragraph
abh01a.att,1,Namo tassa bhagavato arahato sammāsambuddhassa,"Homage to the Blessed One, the Arahant, the Perfectly Self-Enlightened One."
abh01a.att,2,# Abhidhammapiṭake,# In the Abhidhammapiṭaka
abh01a.att,3,#### Aṭṭhasālinī nāma,"#### The Aṭṭhasālinī,"
abh01a.att,4,## Dhammasaṅgaṇī-aṭṭhakathā,## The Commentary to the Dhammasaṅgaṇī
abh01a.att,5,###### Ganthārambhakathā,###### Introduction to the Work
abh01a.att,6,"Karuṇā  viya sattesu, paññā yassa mahesino;","As was the compassion of that Great Sage,"
abh01a.att,7,"Ñeyyadhammesu sabbesu, pavattittha yathāruci.","So too was his wisdom, towards all knowable phenomena, as he willed."
abh01a.att,8,"Dayāya  tāya sattesu, samussāhitamānaso;","His mind inspired by that compassion for beings,"
abh01a.att,9,"Pāṭihīrāvasānamhi, vasanto tidasālaye.","Dwelling in the deva realm at the end of the Twin Miracle,"
abh01a.att,10,"Pāricchattakamūlamhi, paṇḍukambalanāmake;","Seated on the Paṇḍukambala stone seat at the foot of the Pāricchattaka tree,"
abh01a.att,11,"Silāsane sannisinno, ādiccova yugandhare.","Like the sun on the Yugandhara mountain,"
abh01a.att,12,"Cakkavāḷasahassehi, dasahāgamma sabbaso;","Surrounded by an assembly of devas who had come from ten thousand world-systems,"
abh01a.att,13,"Sannisinnena devānaṃ, gaṇena parivārito.","From every direction, and were seated there,"
abh01a.att,14,"Mātaraṃ pamukhaṃ katvā, tassā paññāya tejasā;","With his mother as the chief, by the power of her wisdom,"
abh01a.att,15,"Abhidhammakathāmaggaṃ, devānaṃ sampavattayi.",He set forth the path of Abhidhamma discourse to the devas.
abh01a.att,16,"Tassa pāde namassitvā, sambuddhassa sirīmato;","Having paid homage to the feet of that glorious Perfectly Self-Enlightened One,"
abh01a.att,17,"Saddhammañcassa pūjetvā, katvā saṅghassa cañjaliṃ.","And having venerated his True Dhamma, and made añjali to the Saṅgha,"
abh01a.att,18,"Nipaccakārassetassa, katassa ratanattaye;","By the power of this act of bowing down,"
abh01a.att,19,"Ānubhāvena sosetvā, antarāye asesato.","Performed towards the Triple Gem, having dried up all obstacles completely,"
abh01a.att,20,"Visuddhācārasīlena, nipuṇāmalabuddhinā;","Having been earnestly requested by the bhikkhu Buddhaghosa,"
abh01a.att,21,"Bhikkhunā buddhaghosena, sakkaccaṃ abhiyācito.","Who was endowed with perfectly pure conduct and morality, and subtle, stainless wisdom,"
abh01a.att,22,"Yaṃ  devadevo devānaṃ, desetvā nayato puna;","I shall elucidate the meaning of that Abhidhamma,"
abh01a.att,23,"Therassa sāriputtassa, samācikkhi vināyako.","Which the Leader, the deva of devas, having expounded it to the devas, then declared again in outline to the Elder Sāriputta."
abh01a.att,24,"Anotattadahe katvā, upaṭṭhānaṃ mahesino;","Having performed attendance to the Great Sage in the Anotatta Lake region,"
abh01a.att,25,"Yañca sutvāna so thero, āharitvā mahītalaṃ.","And having heard it, that Elder brought it down to the human world,"
abh01a.att,26,"Bhikkhūnaṃ  payirudāhāsi, iti bhikkhūhi dhārito;","And taught it to the bhikkhus; thus, it was preserved by the bhikkhus,"
abh01a.att,27,"Saṅgītikāle saṅgīto, vedehamuninā puna.",And then recited again by the sage of Videha (Elder Ānanda) at the time of the Saṅgīti.
abh01a.att,28,"Tassa gambhīrañāṇehi, ogāḷhassa abhiṇhaso;","I will explain the meaning of that Abhidhamma,"
abh01a.att,29,"Nānānayavicittassa, abhidhammassa ādito.","Which is profound, constantly delved into by those with deep wisdom, and varied with diverse methods,"
abh01a.att,30,"Yā mahākassapādīhi, vasīhiṭṭhakathā purā;","Along with the ancient commentary that was recited and re-recited by the masters such as Mahākassapa and others previously,"
abh01a.att,31,"Saṅgītā anusaṅgītā, pacchāpi ca isīhi yā.",And later by other sages.
abh01a.att,32,"Ābhatā pana therena, mahindenetamuttamaṃ;","That supreme commentary was brought to this island by the Elder Mahinda,"
abh01a.att,33,"Yā dīpaṃ dīpavāsīnaṃ, bhāsāya abhisaṅkhatā.",And was composed in the language of the islanders for the benefit of the islanders.
abh01a.att,34,"Apanetvā  tato bhāsaṃ, tambapaṇṇinivāsinaṃ;","Having removed the language of the dwellers of Tambapaṇṇi from it,"
abh01a.att,35,"Āropayitvā niddosaṃ, bhāsaṃ tantinayānugaṃ.","And having established it in a faultless language that conforms to the method of the Pāḷi Canon,"
abh01a.att,36,"Nikāyantaraladdhīhi, asammissaṃ anākulaṃ;","Unmixed and undistorted by the doctrines of other schools,"
abh01a.att,37,"Mahāvihāravāsīnaṃ, dīpayanto vinicchayaṃ.",I shall make evident the decision of the Mahāvihāra dwellers.
abh01a.att,38,"Atthaṃ pakāsayissāmi, āgamaṭṭhakathāsupi;","I shall explain the meaning, even from the Suttanta commentaries,"
abh01a.att,39,"Gahetabbaṃ gahetvāna, tosayanto vicakkhaṇe.","Taking what should be taken, pleasing the discerning ones."
