book_id,para_id,pali_paragraph,translation_paragraph
s0201a.att,2,# Majjhimanikāye,# The Middle-Length Discourses
s0201a.att,3,## Mūlapaṇṇāsa-aṭṭhakathā,## Commentary on the Root Fifty
s0201a.att,4,##### (Paṭhamo bhāgo),##### (First Part)
s0201a.att,5,###### Ganthārambhakathā,###### Introductory Discourse
s0201a.att,6,"Karuṇāsītalahadayaṃ, paññāpajjotavihatamohatamaṃ;","Whose heart is cool with compassion, who has dispelled the darkness of delusion with the lamp of wisdom;"
s0201a.att,7,"Sanarāmaralokagaruṃ, vande sugataṃ gativimuttaṃ.","The teacher of the world with its humans and devas, liberated from the destinies, I venerate the **Sugata**."
s0201a.att,8,"Buddhopi buddhabhāvaṃ, bhāvetvā ceva sacchikatvā ca;","The Buddha too, having developed and realized the state of Buddhahood,"
s0201a.att,9,"Yaṃ upagato gatamalaṃ, vande tamanuttaraṃ dhammaṃ.",attained that which is free from defilement; I venerate that supreme **Dhamma**.
s0201a.att,10,"Sugatassa orasānaṃ, puttānaṃ mārasenamathanānaṃ;","Of the Sugata's true-born sons, who have crushed the army of Māra;"
s0201a.att,11,"Aṭṭhannampi samūhaṃ, sirasā vande ariyasaṅghaṃ.","the community of those eight, the **Noble Saṅgha**, I venerate with my head."
s0201a.att,12,"Iti  me pasannamatino, ratanattayavandanāmayaṃ puññaṃ;","Thus, for me of devoted mind, is the merit consisting of veneration for the Triple Gem;"
s0201a.att,13,"Yaṃ suvihatantarāyo, hutvā tassānubhāvena.","may I, through its power, be one whose obstacles are completely removed."
s0201a.att,14,Majjhimapamāṇasuttaṅkitassa idha majjhimāgamavarassa;,"Here, of the excellent **Majjhima Āgama**, marked by suttas of middle length,"
s0201a.att,15,Buddhānubuddhasaṃvaṇṇitassa paravādamathanassa.,"extolled by the Buddhas and their disciples, which crushes the doctrines of others;"
s0201a.att,16,"Atthappakāsanatthaṃ, aṭṭhakathā ādito vasisatehi;","for the purpose of explaining the meaning, the **commentary** which was recited from the beginning by the five hundred masters,"
s0201a.att,17,"Pañcahi yā saṅgītā, anusaṅgītā ca pacchāpi.",and was recited again afterwards.
s0201a.att,18,Sīhaḷadīpaṃ pana ābhatātha vasinā mahāmahindena;,"Having then been brought to the island of Sīhaḷa by the master, the great Mahinda,"
s0201a.att,19,"Ṭhapitā sīhaḷabhāsāya, dīpavāsīnamatthāya.",it was established in the Sīhaḷa language for the benefit of the island's inhabitants.
s0201a.att,20,"Apanetvāna tatohaṃ, sīhaḷabhāsaṃ manoramaṃ bhāsaṃ;","Removing from it the Sīhaḷa language, a delightful language,"
s0201a.att,21,"Tantinayānucchavikaṃ, āropento vigatadosaṃ.","I am rendering it, which is in accordance with the canonical method and is without fault."
s0201a.att,22,"Samayaṃ  avilomento, therānaṃ theravaṃsadīpānaṃ;","Not contradicting the doctrine of the elders, the lamps of the lineage of elders,"
s0201a.att,23,"Sunipuṇavinicchayānaṃ, mahāvihāre nivāsīnaṃ.","of most subtle judgment, who reside in the Mahāvihāra."
s0201a.att,24,"Hitvā punappunāgatamatthaṃ, atthaṃ pakāsayissāmi;","Having omitted the meaning that has come again and again, I will explain the meaning,"
s0201a.att,25,"Sujanassa ca tuṭṭhatthaṃ, ciraṭṭhitatthañca dhammassa.",for the delight of good people and for the long-standing of the Dhamma.
s0201a.att,26,"Sīlakathā  dhutadhammā, kammaṭṭhānāni ceva sabbāni;","The discourse on virtue, the ascetic practices, and all the meditation subjects;"
s0201a.att,27,"Cariyāvidhānasahito, jhānasamāpattivitthāro.","the detailed explanation of jhāna and samāpatti, along with the method of conduct."
s0201a.att,28,"Sabbā ca abhiññāyo, paññāsaṅkalananicchayo ceva;","All the supernormal knowledges, and the determination of the collection of wisdom;"
s0201a.att,29,Khandhādhātāyatanindriyāni ariyāni ceva cattāri.,"the aggregates, elements, sense bases, faculties, and the four Noble"
s0201a.att,30,Saccāni  paccayākāradesanā suparisuddhanipuṇanayā;,"Truths, the exposition of the causal structure with its pure and subtle method,"
s0201a.att,31,"Avimuttatantimaggā, vipassanābhāvanā ceva.","the path of the unbroken canon, and the development of insight meditation."
s0201a.att,32,"Iti pana sabbaṃ yasmā, visuddhimagge mayā suparisuddhaṃ;","Since all this has been stated by me with great purity in the **Visuddhimagga**,"
s0201a.att,33,"Vuttaṃ tasmā bhiyyo, na taṃ idha vicārayissāmi.","therefore, I will not investigate it further here."
s0201a.att,34,"‘‘Majjhe visuddhimaggo, esa catunnampi āgamānañhi;","“This **Visuddhimagga**, standing in the midst of all four Āgamas,"
s0201a.att,35,"Ṭhatvā pakāsayissati, tattha yathābhāsitamatthaṃ’’.",will explain the meaning as it was spoken therein.”
s0201a.att,36,"Icceva kato tasmā, tampi gahetvāna saddhimetāya;","Because it was thus made, therefore, taking it together with this"
s0201a.att,37,"Aṭṭhakathāya vijānatha, majjhimasaṅgītiyā atthanti.","commentary, you should understand the meaning of the Majjhima Saṅgīti."
s0201a.att,38,###### Nidānakathā,###### Introductory Story
s0201a.att,39,`1`. Tattha majjhimasaṅgīti nāma paṇṇāsato mūlapaṇṇāsā majjhimapaṇṇāsā uparipaṇṇāsāti paṇṇāsattayasaṅgahā. Vaggato ekekāya paṇṇāsāya pañca pañca vagge katvā pannarasavaggasamāyogā. Suttato diyaḍḍhasuttasataṃ dve ca suttantā. Padato tevīsuttarapañcasatādhikāni asītipadasahassāni. Tenāhu porāṇā –,"`1`. Therein, the **Majjhima Saṅgīti** is a collection of three fifties: the Root Fifty, the Middle Fifty, and the Upper Fifty. By way of divisions, with five divisions in each fifty, it comprises fifteen divisions. By way of suttas, it is one hundred and fifty suttas and two suttantas. By way of words, it is eighty thousand words, with an additional five hundred and twenty-three words. Therefore the ancients said:"
s0201a.att,40,"‘‘Asītipadasahassāni, bhiyyo pañcasatāni ca;","“Eighty thousand words, and more than five hundred;"
s0201a.att,41,"Puna tevīsati vuttā, padamevaṃ vavatthita’’nti.",again twenty-three are mentioned; thus the words are determined.”
s0201a.att,42,Akkharato  satta akkharasatasahassāni cattālīsañca sahassāni tepaññāsañca akkharāni. Bhāṇavārato asīti bhāṇavārā tevīsapadādhiko ca upaḍḍhabhāṇavāro. Anusandhito pucchānusandhi-ajjhāsayānusandhi-yathānusandhivasena saṅkhepato tividho anusandhi. Vitthārato panettha tīṇi anusandhisahassāni nava ca satāni honti. Tenāhu porāṇā –,"By way of letters, there are seven hundred thousand letters, forty thousand, and fifty-three letters. By way of recitations, there are eighty recitations and half a recitation, plus twenty-three words. By way of connections, there are briefly three kinds of connections: by way of question, by way of intention, and as it occurs. In detail, there are three thousand nine hundred connections herein. Therefore the ancients said:"
s0201a.att,43,"‘‘Tīṇi  sandhisahassāni, tathā navasatāni ca;","“Three thousand connections, and likewise nine hundred;"
s0201a.att,44,"Anusandhinayā ete, majjhimassa pakāsitā’’ti.",these methods of connection of the Majjhima are proclaimed.”
s0201a.att,45,"Tattha paṇṇāsāsu mūlapaṇṇāsā ādi, vaggesu mūlapariyāyavaggo, suttesu mūlapariyāyasuttaṃ. Tassāpi ‘‘evaṃ me suta’’ntiādikaṃ āyasmatā ānandena paṭhamamahāsaṅgītikāle vuttaṃ nidānamādi. Sā panesā paṭhamamahāsaṅgīti sumaṅgalavilāsiniyā dīghanikāyaṭṭhakathāya ādimhi vitthāritā. Tasmā sā tattha vitthāritanayeneva veditabbā.","Therein, among the fifties, the **Mūlapaṇṇāsa** is the first; among the divisions, the **Mūlapariyāyavagga**; among the suttas, the **Mūlapariyāyasutta**. Of that too, the introduction beginning “Thus have I heard,” spoken by the venerable Ānanda at the time of the First Great Council, is the beginning. And that First Great Council is detailed at the beginning of the Sumaṅgalavilāsinī, the commentary on the Dīgha Nikāya. Therefore, it should be understood according to the method detailed there."
s0201a.att,46,### 1. Mūlapariyāyavaggo,### 1. The Division on the Root Discourse on the Way of Attending
s0201a.att,47,##### 1. Mūlapariyāyasuttavaṇṇanā,##### 1. Commentary on the Mūlapariyāyasutta
s0201a.att,48,"`1`. Yaṃ  panetaṃ ‘‘evaṃ me suta’’ntiādikaṃ nidānaṃ. Tattha evanti nipātapadaṃ. Metiādīni nāmapadāni. Ukkaṭṭhāyaṃ viharatīti ettha vīti upasaggapadaṃ, haratīti ākhyātapadanti iminā tāva nayena padavibhāgo veditabbo.","`1`. Now, regarding this introduction beginning “Thus have I heard.” Therein, **evaṃ** is a particle. Words such as **me** are nouns. In **Ukkaṭṭhāyaṃ viharati**, **vi** is a prefix, and **harati** is a verb. In this way, the division of words should first be understood."
